n	                    Xn	                   Vn1	                   Vn2	                  V^n1	                  V^n2	            En (norm2)	            S* (norm2)	                  Hn-1
0	0.0000000000000000e+00	7.0000000000000000e+00	1.3000000000000000e+01	-	                 -	0.0000000000000000e+00	0.0000000000000000e+00	-
1	2.0000000000000000e-03	8.9998000019999882e+00	1.0999800001999986e+01	9.5779250019999864e+00	1.0421675001999986e+01	8.4003458331062708e-01	8.1759221574694441e-01	2.0000000000000000e-03
2	4.0000000000000001e-03	9.6662666746665593e+00	1.0332933341333227e+01	9.8589750079998950e+00	1.0140225007999893e+01	3.9369784603110575e-01	2.7253073858231730e-01	2.0000000000000000e-03
3	6.0000000000000001e-03	9.8882889068885280e+00	1.0110511129110751e+01	9.9525250179996405e+00	1.0046275017999641e+01	1.4661838542566752e-01	9.0843579527439100e-02	2.0000000000000000e-03
4	8.0000000000000002e-03	9.9621629949621102e+00	1.0036237069036183e+01	9.9835750319991465e+00	1.0014825031999147e+01	5.0955032693744060e-02	3.0281193175811776e-02	2.0000000000000000e-03
5	1.0000000000000000e-02	9.9866543709859883e+00	1.0011345729010678e+01	9.9937917166649992e+00	1.0004208383331665e+01	1.7266811106761197e-02	1.0093731058603506e-02	2.0000000000000000e-03
6	1.2000000000000000e-02	9.9946848456596715e+00	1.0002915298334567e+01	9.9970639608860079e+00	1.0000536183108231e+01	5.7937412133342494e-03	3.3645770195332458e-03	2.0000000000000000e-03
7	1.4000000000000000e-02	9.9972283558829460e+00	9.9999718401079072e+00	9.9980213942917224e+00	9.9991788016991308e+00	1.9364084219723519e-03	1.1215256731743992e-03	2.0000000000000000e-03
8	1.6000000000000000e-02	9.9979428806223467e+00	9.9988573753640004e+00	9.9982072267586055e+00	9.9985930292277416e+00	6.4616798687204351e-04	3.7384189105813307e-04	2.0000000000000000e-03
9	1.8000000000000002e-02	9.9980477462000046e+00	9.9983525777805564e+00	9.9981358615787581e+00	9.9982644624018029e+00	2.1548386239669755e-04	1.2461396368688174e-04	2.0000000000000018e-03
